Username,User ID,Category
ford,215007312,auto
honda,260574228,auto
forever21,11707579,fashion & apparel
topshop,4165329,fashion & apparel
nfl,205593849,sports
nba,20824486,sports
madewell1937,38624737,fashion & apparel
urbanoutfitters,5413187,fashion & apparel
louboutinworld,11285087,fashion & apparel
gucci,2421050,fashion & apparel
nordstrom,25501780,fashion & apparel
oreo,266689531,CPG
audi,10943735,auto
mercedesbenz,25749975,auto
bmw,43109246,auto
sephora,23818608,health & beauty
redbull,476322,CPG
nike,13460080,fashion & apparel
vans,18919774,fashion & apparel
converse,6716197,fashion & apparel
chubbies,8708751,fashion & apparel
patagonia,143939018,fashion & apparel
microsoft,524549267,technology
generalelectric,3839414,technology
samsungmobile,281764286,technology
samsungusa,282271755,technology
toyotausa,270957561,auto
disney,284634734,entertainment
intel,11424159,technology
cisco,198077796,technology
oracle,314973537,technology
hp,299490091,technology
amazon,845447128,ecommerce
louisvuitton,187619120,fashion & apparel
hm,23410080,fashion & apparel
americanexpress,7063352,financial services
pepsi,355867731,CPG
sapsoftware,249160192,technology
ikeausa,306227404,retailer
ebay,21695262,ecommerce
facebook,1807199,technology
vw,214315114,auto
budweiser,611930682,alcohol 
zara,602725764,fashion & apparel
canonusa,1315608830,technology
nescafe,864692,CPG
hyundaiusa,37795667,auto
lorealparisusa,182211878,health & beauty
hermes,248150720,fashion & apparel
siemens_usa,1065745185,technology
nestletollhouse,691878454,CPG
adidasoriginals,9187952,fashion & apparel
americanapparelusa,22081838,fashion & apparel
chanelofficial,695995017,fashion & apparel
fcbarcelona,260375673,sports
gopro,28902942,technology
instagram,25025320,technology
nikefootball,23678829,fashion & apparel
victoriassecret,3416684,fashion & apparel
adidas,20269764,fashion & apparel
asics,242236354,fashion & apparel
aldo_shoes,190611159,fashion & apparel
chineselaundry,26976356,fashion & apparel
clarksshoes,244689943,fashion & apparel
hunterboots,46548488,fashion & apparel
keds,21283002,fashion & apparel
manoloblahnikhq,198458617,fashion & apparel
loefflerrandall,22972316,fashion & apparel
melissashoes,1102964205,fashion & apparel
metooshoes,202439896,fashion & apparel
ninashoes,228234801,fashion & apparel
ninewest,13724407,fashion & apparel
puma,10145706,fashion & apparel
saucony,26405223,fashion & apparel
seychellesshoes,25048800,fashion & apparel
timberland,5561853,fashion & apparel
tods,321669599,fashion & apparel
toms,5218673,fashion & apparel
gatorade,19933454,CPG
hitachi,2914231,technology
verizon,302885848,technology
applemusic,365041587,technology
googlemaps,336431628,technology
microsoftstore,608724312,technology
microsoftlumia,256679330,technology
att,4137844,technology
walmart,391362994,retailer
cocacola,249655166,CPG
wellsfargo,1197189422,financial services
telemundo,2774594,entertainment
shell,588282712,oil & gas
vodafonearena,1003901688,technology
citibank,819240211,financial services
chase,1662434192,financial services
homedepot,29740022,retailer
mitsubishimotors,46820548,auto
siemens,648766121,technology
oitnb,399304491,entertainment
ups,1485818469,shipping servies
